parameter,value,units,category,impact,source
"| Pop-Up Workshop | 2.5 | $0 | ∞ | $38 | Blog ≥1, E-book ≥1. | Audience (Writing weight 0.5). |",0,usd,cost,linear,docs/archive/economy/economy.md:L120
"| Pop-Up Workshop | 2.5 | $0 | ∞ | $38 | Blog ≥1, E-book ≥1. | Audience (Writing weight 0.5). |",38,usd,cost,linear,docs/archive/economy/economy.md:L120
"| Pop-Up Workshop | 2.5 | $0 | ∞ | $38 | Blog ≥1, E-book ≥1. | Audience (Writing weight 0.5). |",1,usd,cost,linear,docs/archive/economy/economy.md:L120
"| Pop-Up Workshop | 2.5 | $0 | ∞ | $38 | Blog ≥1, E-book ≥1. | Audience (Writing weight 0.5). |",1,,other,linear,docs/archive/economy/economy.md:L120
"| Pop-Up Workshop | 2.5 | $0 | ∞ | $38 | Blog ≥1, E-book ≥1. | Audience (Writing weight 0.5). |",0.5,,other,linear,docs/archive/economy/economy.md:L120
| Vlog Edit Rush | 1.5 | $0 | ∞ | $24 | Vlog ≥1. | Editing. |,1.5,,other,linear,docs/archive/economy/economy.md:L121
| Vlog Edit Rush | 1.5 | $0 | ∞ | $24 | Vlog ≥1. | Editing. |,0,usd,cost,linear,docs/archive/economy/economy.md:L121
| Vlog Edit Rush | 1.5 | $0 | ∞ | $24 | Vlog ≥1. | Editing. |,24,usd,cost,linear,docs/archive/economy/economy.md:L121
| Vlog Edit Rush | 1.5 | $0 | ∞ | $24 | Vlog ≥1. | Editing. |,1,usd,cost,linear,docs/archive/economy/economy.md:L121
| Dropship Pack Party | 2 | $8 | ∞ | $28 | Dropshipping ≥1. | Commerce. |,2,,other,linear,docs/archive/economy/economy.md:L122
| Dropship Pack Party | 2 | $8 | ∞ | $28 | Dropshipping ≥1. | Commerce. |,8,usd,cost,linear,docs/archive/economy/economy.md:L122
| Dropship Pack Party | 2 | $8 | ∞ | $28 | Dropshipping ≥1. | Commerce. |,28,usd,cost,linear,docs/archive/economy/economy.md:L122
| Dropship Pack Party | 2 | $8 | ∞ | $28 | Dropshipping ≥1. | Commerce. |,1,,other,linear,docs/archive/economy/economy.md:L122
| SaaS Bug Squash | 1 | $0 | ∞ | $30 | SaaS ≥1. | Software (Infrastructure weight 0.5). |,1,,other,linear,docs/archive/economy/economy.md:L123
| SaaS Bug Squash | 1 | $0 | ∞ | $30 | SaaS ≥1. | Software (Infrastructure weight 0.5). |,0,usd,cost,linear,docs/archive/economy/economy.md:L123
| SaaS Bug Squash | 1 | $0 | ∞ | $30 | SaaS ≥1. | Software (Infrastructure weight 0.5). |,30,usd,cost,linear,docs/archive/economy/economy.md:L123
| SaaS Bug Squash | 1 | $0 | ∞ | $30 | SaaS ≥1. | Software (Infrastructure weight 0.5). |,1,usd,cost,linear,docs/archive/economy/economy.md:L123
| SaaS Bug Squash | 1 | $0 | ∞ | $30 | SaaS ≥1. | Software (Infrastructure weight 0.5). |,0.5,,other,linear,docs/archive/economy/economy.md:L123
| Audiobook Narration | 2.75 | $0 | ∞ | $44 | E-book ≥1. | Audio. |,2.75,,other,linear,docs/archive/economy/economy.md:L124
| Audiobook Narration | 2.75 | $0 | ∞ | $44 | E-book ≥1. | Audio. |,0,usd,cost,linear,docs/archive/economy/economy.md:L124
| Audiobook Narration | 2.75 | $0 | ∞ | $44 | E-book ≥1. | Audio. |,44,usd,cost,linear,docs/archive/economy/economy.md:L124
| Audiobook Narration | 2.75 | $0 | ∞ | $44 | E-book ≥1. | Audio. |,1,,other,linear,docs/archive/economy/economy.md:L124
| Street Team Promo | 0.75 | $5 | ∞ | $18 | Blog ≥2. | Promotion. |,0.75,,other,linear,docs/archive/economy/economy.md:L125
| Street Team Promo | 0.75 | $5 | ∞ | $18 | Blog ≥2. | Promotion. |,5,usd,cost,linear,docs/archive/economy/economy.md:L125
| Street Team Promo | 0.75 | $5 | ∞ | $18 | Blog ≥2. | Promotion. |,18,usd,cost,linear,docs/archive/economy/economy.md:L125
| Street Team Promo | 0.75 | $5 | ∞ | $18 | Blog ≥2. | Promotion. |,2,usd,cost,linear,docs/archive/economy/economy.md:L125
"Each knowledge track also exposes a “Study” card whose action enrolls the course (time cost 0, money cost equals tuition) and defers to the orchestrator for ongoing study time. Card text reflects enrollment status and bonuses.",0,,time,linear,docs/archive/economy/economy.md:L129
"1. **Quality range:** Each asset instance references its current quality level to derive `[min,max]` income bounds.",1,,other,linear,docs/archive/economy/economy.md:L135
2. **Random roll:** Daily income equals `round(min + rand() * (max - min))` before modifiers.,2,,income,linear,docs/archive/economy/economy.md:L136
3. **Definition modifiers:** Optional custom modifiers can override the amount and contribute labeled breakdown entries.,3,,other,linear,docs/archive/economy/economy.md:L137
"4. **Events & niches:** Active niche multipliers, scripted events, and education bonuses apply sequentially, all tracked for UI breakdowns.",4,,income,linear,docs/archive/economy/economy.md:L138
5. **Upgrade multipliers:** Asset upgrades with `payout_mult` multiply the final amount via chained factors; deltas are stored per source.,5,,other,linear,docs/archive/economy/economy.md:L139
6. **Rounding & storage:** Amounts round to whole dollars; breakdown entries track adjustments and are cached on the instance.,6,,other,linear,docs/archive/economy/economy.md:L140
"- **Setup:** 3 days × 3h, $180 cost. Maintenance: 0.6h/day, $3/day.",3,days,time,linear,docs/archive/economy/economy.md:L150
"- **Setup:** 3 days × 3h, $180 cost. Maintenance: 0.6h/day, $3/day.",3,,time,linear,docs/archive/economy/economy.md:L150
"- **Setup:** 3 days × 3h, $180 cost. Maintenance: 0.6h/day, $3/day.",180,usd,time,linear,docs/archive/economy/economy.md:L150
"- **Setup:** 3 days × 3h, $180 cost. Maintenance: 0.6h/day, $3/day.",0.6,,time,linear,docs/archive/economy/economy.md:L150
"- **Setup:** 3 days × 3h, $180 cost. Maintenance: 0.6h/day, $3/day.",3,usd,time,linear,docs/archive/economy/economy.md:L150
"- **Income:** Base 30, variance 0.2 (quality table defines min/max payouts).",30,,income,linear,docs/archive/economy/economy.md:L151
"- **Income:** Base 30, variance 0.2 (quality table defines min/max payouts).",0.2,,limit,cap,docs/archive/economy/economy.md:L151
"- 0: $3–6, no requirements.",0,,other,linear,docs/archive/economy/economy.md:L153
"- 0: $3–6, no requirements.",3,usd,cost,linear,docs/archive/economy/economy.md:L153
"- 0: $3–6, no requirements.",6,usd,cost,linear,docs/archive/economy/economy.md:L153
"- 1: $9–15, requires 3 posts.",1,,requirement,linear,docs/archive/economy/economy.md:L154
"- 1: $9–15, requires 3 posts.",9,usd,cost,linear,docs/archive/economy/economy.md:L154
"- 1: $9–15, requires 3 posts.",15,usd,cost,linear,docs/archive/economy/economy.md:L154
"- 1: $9–15, requires 3 posts.",3,count,requirement,linear,docs/archive/economy/economy.md:L154
"- 2: $16–24, requires 9 posts & 2 SEO sprints.",2,,requirement,linear,docs/archive/economy/economy.md:L155
"- 2: $16–24, requires 9 posts & 2 SEO sprints.",16,usd,cost,linear,docs/archive/economy/economy.md:L155
"- 2: $16–24, requires 9 posts & 2 SEO sprints.",24,usd,cost,linear,docs/archive/economy/economy.md:L155
"- 2: $16–24, requires 9 posts & 2 SEO sprints.",9,count,requirement,linear,docs/archive/economy/economy.md:L155
"- 2: $16–24, requires 9 posts & 2 SEO sprints.",2,count,requirement,linear,docs/archive/economy/economy.md:L155
"- 3: $30–42, requires 18 posts, 5 SEO, 3 outreach.",3,,requirement,linear,docs/archive/economy/economy.md:L156
"- 3: $30–42, requires 18 posts, 5 SEO, 3 outreach.",30,usd,cost,linear,docs/archive/economy/economy.md:L156
"- 3: $30–42, requires 18 posts, 5 SEO, 3 outreach.",42,usd,cost,linear,docs/archive/economy/economy.md:L156
"- 3: $30–42, requires 18 posts, 5 SEO, 3 outreach.",18,count,requirement,linear,docs/archive/economy/economy.md:L156
"- 3: $30–42, requires 18 posts, 5 SEO, 3 outreach.",5,count,requirement,linear,docs/archive/economy/economy.md:L156
"- 3: $30–42, requires 18 posts, 5 SEO, 3 outreach.",3,count,requirement,linear,docs/archive/economy/economy.md:L156
"- 4: $46–62, requires 28 posts, 9 SEO, 6 outreach.",4,,requirement,linear,docs/archive/economy/economy.md:L157
"- 4: $46–62, requires 28 posts, 9 SEO, 6 outreach.",46,usd,cost,linear,docs/archive/economy/economy.md:L157
"- 4: $46–62, requires 28 posts, 9 SEO, 6 outreach.",62,usd,cost,linear,docs/archive/economy/economy.md:L157
"- 4: $46–62, requires 28 posts, 9 SEO, 6 outreach.",28,count,requirement,linear,docs/archive/economy/economy.md:L157
"- 4: $46–62, requires 28 posts, 9 SEO, 6 outreach.",9,count,requirement,linear,docs/archive/economy/economy.md:L157
"- 4: $46–62, requires 28 posts, 9 SEO, 6 outreach.",6,count,requirement,linear,docs/archive/economy/economy.md:L157
"- 5: $64–84, requires 40 posts, 14 SEO, 10 outreach.",5,,requirement,linear,docs/archive/economy/economy.md:L158
"- 5: $64–84, requires 40 posts, 14 SEO, 10 outreach.",64,usd,cost,linear,docs/archive/economy/economy.md:L158
"- 5: $64–84, requires 40 posts, 14 SEO, 10 outreach.",84,usd,cost,linear,docs/archive/economy/economy.md:L158
"- 5: $64–84, requires 40 posts, 14 SEO, 10 outreach.",40,count,requirement,linear,docs/archive/economy/economy.md:L158
"- 5: $64–84, requires 40 posts, 14 SEO, 10 outreach.",14,count,requirement,linear,docs/archive/economy/economy.md:L158
"- 5: $64–84, requires 40 posts, 14 SEO, 10 outreach.",10,count,requirement,linear,docs/archive/economy/economy.md:L158
"- **Quality Actions:** Write Post (3h, 1/day), SEO Sprint (2h + $16), Backlink Outreach (1.5h + $16).",3,,time,linear,docs/archive/economy/economy.md:L159
"- **Quality Actions:** Write Post (3h, 1/day), SEO Sprint (2h + $16), Backlink Outreach (1.5h + $16).",1,,time,linear,docs/archive/economy/economy.md:L159
"- **Quality Actions:** Write Post (3h, 1/day), SEO Sprint (2h + $16), Backlink Outreach (1.5h + $16).",2,,time,linear,docs/archive/economy/economy.md:L159
"- **Quality Actions:** Write Post (3h, 1/day), SEO Sprint (2h + $16), Backlink Outreach (1.5h + $16).",16,usd,time,linear,docs/archive/economy/economy.md:L159
"- **Quality Actions:** Write Post (3h, 1/day), SEO Sprint (2h + $16), Backlink Outreach (1.5h + $16).",1.5,,other,linear,docs/archive/economy/economy.md:L159
"- **Quality Actions:** Write Post (3h, 1/day), SEO Sprint (2h + $16), Backlink Outreach (1.5h + $16).",16,usd,cost,linear,docs/archive/economy/economy.md:L159
"- **Setup:** 4 days × 3h, $260. Maintenance: 0.5h, $3.",4,days,time,linear,docs/archive/economy/economy.md:L163
"- **Setup:** 4 days × 3h, $260. Maintenance: 0.5h, $3.",3,,time,linear,docs/archive/economy/economy.md:L163
"- **Setup:** 4 days × 3h, $260. Maintenance: 0.5h, $3.",260,usd,time,linear,docs/archive/economy/economy.md:L163
"- **Setup:** 4 days × 3h, $260. Maintenance: 0.5h, $3.",0.5,,time,linear,docs/archive/economy/economy.md:L163
"- **Setup:** 4 days × 3h, $260. Maintenance: 0.5h, $3.",3,usd,time,linear,docs/archive/economy/economy.md:L163
- 0: $3–6.,0,,other,linear,docs/archive/economy/economy.md:L166
- 0: $3–6.,3,usd,cost,linear,docs/archive/economy/economy.md:L166
- 0: $3–6.,6,usd,cost,linear,docs/archive/economy/economy.md:L166
- 1: $12–20 (6 chapters).,1,,requirement,linear,docs/archive/economy/economy.md:L167
- 1: $12–20 (6 chapters).,12,usd,cost,linear,docs/archive/economy/economy.md:L167
- 1: $12–20 (6 chapters).,20,usd,cost,linear,docs/archive/economy/economy.md:L167
- 1: $12–20 (6 chapters).,6,usd,cost,linear,docs/archive/economy/economy.md:L167
"- 2: $20–30 (12 chapters, 1 cover).",2,,requirement,linear,docs/archive/economy/economy.md:L168
"- 2: $20–30 (12 chapters, 1 cover).",20,usd,cost,linear,docs/archive/economy/economy.md:L168
"- 2: $20–30 (12 chapters, 1 cover).",30,usd,cost,linear,docs/archive/economy/economy.md:L168
"- 2: $20–30 (12 chapters, 1 cover).",12,usd,cost,linear,docs/archive/economy/economy.md:L168
"- 2: $20–30 (12 chapters, 1 cover).",1,,requirement,linear,docs/archive/economy/economy.md:L168
"- 3: $30–42 (18 chapters, 2 covers, 6 reviews).",3,,requirement,linear,docs/archive/economy/economy.md:L169
"- 3: $30–42 (18 chapters, 2 covers, 6 reviews).",30,usd,cost,linear,docs/archive/economy/economy.md:L169
"- 3: $30–42 (18 chapters, 2 covers, 6 reviews).",42,usd,cost,linear,docs/archive/economy/economy.md:L169
"- 3: $30–42 (18 chapters, 2 covers, 6 reviews).",18,usd,cost,linear,docs/archive/economy/economy.md:L169
"- 3: $30–42 (18 chapters, 2 covers, 6 reviews).",2,count,requirement,linear,docs/archive/economy/economy.md:L169
"- 3: $30–42 (18 chapters, 2 covers, 6 reviews).",6,count,requirement,linear,docs/archive/economy/economy.md:L169
"- 4: $44–58 (24 chapters, 3 covers, 10 reviews).",4,,requirement,linear,docs/archive/economy/economy.md:L170
"- 4: $44–58 (24 chapters, 3 covers, 10 reviews).",44,usd,cost,linear,docs/archive/economy/economy.md:L170
"- 4: $44–58 (24 chapters, 3 covers, 10 reviews).",58,usd,cost,linear,docs/archive/economy/economy.md:L170
"- 4: $44–58 (24 chapters, 3 covers, 10 reviews).",24,usd,cost,linear,docs/archive/economy/economy.md:L170
"- 4: $44–58 (24 chapters, 3 covers, 10 reviews).",3,count,requirement,linear,docs/archive/economy/economy.md:L170
"- 4: $44–58 (24 chapters, 3 covers, 10 reviews).",10,count,requirement,linear,docs/archive/economy/economy.md:L170
"- 5: $60–78 (32 chapters, 4 covers, 16 reviews).",5,,requirement,linear,docs/archive/economy/economy.md:L171
"- 5: $60–78 (32 chapters, 4 covers, 16 reviews).",60,usd,cost,linear,docs/archive/economy/economy.md:L171
"- 5: $60–78 (32 chapters, 4 covers, 16 reviews).",78,usd,cost,linear,docs/archive/economy/economy.md:L171
"- 5: $60–78 (32 chapters, 4 covers, 16 reviews).",32,usd,cost,linear,docs/archive/economy/economy.md:L171
"- 5: $60–78 (32 chapters, 4 covers, 16 reviews).",4,count,requirement,linear,docs/archive/economy/economy.md:L171
"- 5: $60–78 (32 chapters, 4 covers, 16 reviews).",16,count,requirement,linear,docs/archive/economy/economy.md:L171
"- **Actions:** Write Chapter (2.5h), Commission Cover (1.5h + $60), Rally Reviews (1.25h + $10).",2.5,,other,linear,docs/archive/economy/economy.md:L172
"- **Actions:** Write Chapter (2.5h), Commission Cover (1.5h + $60), Rally Reviews (1.25h + $10).",1.5,,requirement,linear,docs/archive/economy/economy.md:L172
"- **Actions:** Write Chapter (2.5h), Commission Cover (1.5h + $60), Rally Reviews (1.25h + $10).",60,usd,cost,linear,docs/archive/economy/economy.md:L172
"- **Actions:** Write Chapter (2.5h), Commission Cover (1.5h + $60), Rally Reviews (1.25h + $10).",1.25,,requirement,linear,docs/archive/economy/economy.md:L172
"- **Actions:** Write Chapter (2.5h), Commission Cover (1.5h + $60), Rally Reviews (1.25h + $10).",10,usd,cost,linear,docs/archive/economy/economy.md:L172
"- **Setup:** 4 days × 4h, $420. Maintenance: 1h, $9.",4,days,time,linear,docs/archive/economy/economy.md:L176
"- **Setup:** 4 days × 4h, $420. Maintenance: 1h, $9.",4,,time,linear,docs/archive/economy/economy.md:L176
"- **Setup:** 4 days × 4h, $420. Maintenance: 1h, $9.",420,usd,time,linear,docs/archive/economy/economy.md:L176
"- **Setup:** 4 days × 4h, $420. Maintenance: 1h, $9.",1,,time,linear,docs/archive/economy/economy.md:L176
"- **Setup:** 4 days × 4h, $420. Maintenance: 1h, $9.",9,usd,time,linear,docs/archive/economy/economy.md:L176
- 0: $2–5.,0,,other,linear,docs/archive/economy/economy.md:L179
- 0: $2–5.,2,usd,cost,linear,docs/archive/economy/economy.md:L179
- 0: $2–5.,5,usd,cost,linear,docs/archive/economy/economy.md:L179
- 1: $12–20 (4 episodes).,1,,other,linear,docs/archive/economy/economy.md:L180
- 1: $12–20 (4 episodes).,12,usd,cost,linear,docs/archive/economy/economy.md:L180
- 1: $12–20 (4 episodes).,20,usd,cost,linear,docs/archive/economy/economy.md:L180
- 1: $12–20 (4 episodes).,4,usd,cost,linear,docs/archive/economy/economy.md:L180
"- 2: $20–30 (10 episodes, 4 edits).",2,,other,linear,docs/archive/economy/economy.md:L181
"- 2: $20–30 (10 episodes, 4 edits).",20,usd,cost,linear,docs/archive/economy/economy.md:L181
"- 2: $20–30 (10 episodes, 4 edits).",30,usd,cost,linear,docs/archive/economy/economy.md:L181
"- 2: $20–30 (10 episodes, 4 edits).",10,usd,cost,linear,docs/archive/economy/economy.md:L181
"- 2: $20–30 (10 episodes, 4 edits).",4,,other,linear,docs/archive/economy/economy.md:L181
"- 3: $32–40 (18 episodes, 7 edits, 5 promos).",3,,other,linear,docs/archive/economy/economy.md:L182
"- 3: $32–40 (18 episodes, 7 edits, 5 promos).",32,usd,cost,linear,docs/archive/economy/economy.md:L182
"- 3: $32–40 (18 episodes, 7 edits, 5 promos).",40,usd,cost,linear,docs/archive/economy/economy.md:L182
"- 3: $32–40 (18 episodes, 7 edits, 5 promos).",18,usd,cost,linear,docs/archive/economy/economy.md:L182
"- 3: $32–40 (18 episodes, 7 edits, 5 promos).",7,,other,linear,docs/archive/economy/economy.md:L182
"- 3: $32–40 (18 episodes, 7 edits, 5 promos).",5,count,other,linear,docs/archive/economy/economy.md:L182
"- 4: $45–58 (26 episodes, 11 edits, 9 promos).",4,,other,linear,docs/archive/economy/economy.md:L183
"- 4: $45–58 (26 episodes, 11 edits, 9 promos).",45,usd,cost,linear,docs/archive/economy/economy.md:L183
"- 4: $45–58 (26 episodes, 11 edits, 9 promos).",58,usd,cost,linear,docs/archive/economy/economy.md:L183
"- 4: $45–58 (26 episodes, 11 edits, 9 promos).",26,usd,cost,linear,docs/archive/economy/economy.md:L183
"- 4: $45–58 (26 episodes, 11 edits, 9 promos).",11,,other,linear,docs/archive/economy/economy.md:L183
"- 4: $45–58 (26 episodes, 11 edits, 9 promos).",9,count,other,linear,docs/archive/economy/economy.md:L183
"- 5: $62–82 (38 episodes, 16 edits, 14 promos).",5,,other,linear,docs/archive/economy/economy.md:L184
"- 5: $62–82 (38 episodes, 16 edits, 14 promos).",62,usd,cost,linear,docs/archive/economy/economy.md:L184
"- 5: $62–82 (38 episodes, 16 edits, 14 promos).",82,usd,cost,linear,docs/archive/economy/economy.md:L184
"- 5: $62–82 (38 episodes, 16 edits, 14 promos).",38,usd,cost,linear,docs/archive/economy/economy.md:L184
"- 5: $62–82 (38 episodes, 16 edits, 14 promos).",16,,other,linear,docs/archive/economy/economy.md:L184
"- 5: $62–82 (38 episodes, 16 edits, 14 promos).",14,count,other,linear,docs/archive/economy/economy.md:L184
"- **Actions:** Film Episode (5h), Polish Edit (2.5h + $16), Promo Blast (2h + $24).",5,,other,linear,docs/archive/economy/economy.md:L185
"- **Actions:** Film Episode (5h), Polish Edit (2.5h + $16), Promo Blast (2h + $24).",2.5,,other,linear,docs/archive/economy/economy.md:L185
"- **Actions:** Film Episode (5h), Polish Edit (2.5h + $16), Promo Blast (2h + $24).",16,usd,cost,linear,docs/archive/economy/economy.md:L185
"- **Actions:** Film Episode (5h), Polish Edit (2.5h + $16), Promo Blast (2h + $24).",2,,other,linear,docs/archive/economy/economy.md:L185
"- **Actions:** Film Episode (5h), Polish Edit (2.5h + $16), Promo Blast (2h + $24).",24,usd,cost,linear,docs/archive/economy/economy.md:L185
"- **Setup:** 5 days × 4h, $560. Maintenance: 0.8h, $10.",5,days,time,linear,docs/archive/economy/economy.md:L189
"- **Setup:** 5 days × 4h, $560. Maintenance: 0.8h, $10.",4,,time,linear,docs/archive/economy/economy.md:L189
"- **Setup:** 5 days × 4h, $560. Maintenance: 0.8h, $10.",560,usd,time,linear,docs/archive/economy/economy.md:L189
"- **Setup:** 5 days × 4h, $560. Maintenance: 0.8h, $10.",0.8,,time,linear,docs/archive/economy/economy.md:L189
"- **Setup:** 5 days × 4h, $560. Maintenance: 0.8h, $10.",10,usd,time,linear,docs/archive/economy/economy.md:L189
- 0: $8–14.,0,,other,linear,docs/archive/economy/economy.md:L192
- 0: $8–14.,8,usd,cost,linear,docs/archive/economy/economy.md:L192
- 0: $8–14.,14,usd,cost,linear,docs/archive/economy/economy.md:L192
- 1: $18–30 (4 shoots).,1,,requirement,linear,docs/archive/economy/economy.md:L193
- 1: $18–30 (4 shoots).,18,usd,cost,linear,docs/archive/economy/economy.md:L193
- 1: $18–30 (4 shoots).,30,usd,cost,linear,docs/archive/economy/economy.md:L193
- 1: $18–30 (4 shoots).,4,usd,cost,linear,docs/archive/economy/economy.md:L193
"- 2: $34–52 (10 shoots, 4 edits).",2,,requirement,linear,docs/archive/economy/economy.md:L194
"- 2: $34–52 (10 shoots, 4 edits).",34,usd,cost,linear,docs/archive/economy/economy.md:L194
"- 2: $34–52 (10 shoots, 4 edits).",52,usd,cost,linear,docs/archive/economy/economy.md:L194
"- 2: $34–52 (10 shoots, 4 edits).",10,usd,cost,linear,docs/archive/economy/economy.md:L194
"- 2: $34–52 (10 shoots, 4 edits).",4,,requirement,linear,docs/archive/economy/economy.md:L194
"- 3: $54–78 (16 shoots, 7 edits, 5 marketing pushes).",3,,requirement,linear,docs/archive/economy/economy.md:L195
"- 3: $54–78 (16 shoots, 7 edits, 5 marketing pushes).",54,usd,cost,linear,docs/archive/economy/economy.md:L195
"- 3: $54–78 (16 shoots, 7 edits, 5 marketing pushes).",78,usd,cost,linear,docs/archive/economy/economy.md:L195
"- 3: $54–78 (16 shoots, 7 edits, 5 marketing pushes).",16,usd,cost,linear,docs/archive/economy/economy.md:L195
"- 3: $54–78 (16 shoots, 7 edits, 5 marketing pushes).",7,,requirement,linear,docs/archive/economy/economy.md:L195
"- 3: $54–78 (16 shoots, 7 edits, 5 marketing pushes).",5,count,requirement,linear,docs/archive/economy/economy.md:L195
"- 4: $80–108 (24 shoots, 11 edits, 9 marketing).",4,,requirement,linear,docs/archive/economy/economy.md:L196
"- 4: $80–108 (24 shoots, 11 edits, 9 marketing).",80,usd,cost,linear,docs/archive/economy/economy.md:L196
"- 4: $80–108 (24 shoots, 11 edits, 9 marketing).",108,usd,cost,linear,docs/archive/economy/economy.md:L196
"- 4: $80–108 (24 shoots, 11 edits, 9 marketing).",24,usd,cost,linear,docs/archive/economy/economy.md:L196
"- 4: $80–108 (24 shoots, 11 edits, 9 marketing).",11,,requirement,linear,docs/archive/economy/economy.md:L196
"- 4: $80–108 (24 shoots, 11 edits, 9 marketing).",9,count,requirement,linear,docs/archive/economy/economy.md:L196
"- 5: $112–150 (36 shoots, 16 edits, 14 marketing).",5,,requirement,linear,docs/archive/economy/economy.md:L197
"- 5: $112–150 (36 shoots, 16 edits, 14 marketing).",112,usd,cost,linear,docs/archive/economy/economy.md:L197
"- 5: $112–150 (36 shoots, 16 edits, 14 marketing).",150,usd,cost,linear,docs/archive/economy/economy.md:L197
"- 5: $112–150 (36 shoots, 16 edits, 14 marketing).",36,usd,cost,linear,docs/archive/economy/economy.md:L197
"- 5: $112–150 (36 shoots, 16 edits, 14 marketing).",16,,requirement,linear,docs/archive/economy/economy.md:L197
"- 5: $112–150 (36 shoots, 16 edits, 14 marketing).",14,count,requirement,linear,docs/archive/economy/economy.md:L197
"- **Actions:** Plan Shoot (3.5h + $22), Batch Edit (2h + $14), Run Promo (2h + $16).",3.5,,other,linear,docs/archive/economy/economy.md:L198
"- **Actions:** Plan Shoot (3.5h + $22), Batch Edit (2h + $14), Run Promo (2h + $16).",22,usd,cost,linear,docs/archive/economy/economy.md:L198
"- **Actions:** Plan Shoot (3.5h + $22), Batch Edit (2h + $14), Run Promo (2h + $16).",2,,other,linear,docs/archive/economy/economy.md:L198
"- **Actions:** Plan Shoot (3.5h + $22), Batch Edit (2h + $14), Run Promo (2h + $16).",14,usd,cost,linear,docs/archive/economy/economy.md:L198
"- **Actions:** Plan Shoot (3.5h + $22), Batch Edit (2h + $14), Run Promo (2h + $16).",16,usd,cost,linear,docs/archive/economy/economy.md:L198
"- **Setup:** 6 days × 4h, $720. Maintenance: 1.1h, $12.",6,days,time,linear,docs/archive/economy/economy.md:L202
"- **Setup:** 6 days × 4h, $720. Maintenance: 1.1h, $12.",4,,time,linear,docs/archive/economy/economy.md:L202
"- **Setup:** 6 days × 4h, $720. Maintenance: 1.1h, $12.",720,usd,time,linear,docs/archive/economy/economy.md:L202
"- **Setup:** 6 days × 4h, $720. Maintenance: 1.1h, $12.",1.1,,time,linear,docs/archive/economy/economy.md:L202
"- **Setup:** 6 days × 4h, $720. Maintenance: 1.1h, $12.",12,usd,time,linear,docs/archive/economy/economy.md:L202
- **Requirements:** Complete `ecomPlaybook` track; own ≥2 blogs and ≥1 e-book (experience).,2,,other,linear,docs/archive/economy/economy.md:L203
- **Requirements:** Complete `ecomPlaybook` track; own ≥2 blogs and ≥1 e-book (experience).,1,,other,linear,docs/archive/economy/economy.md:L203
- 0: $12–20.,0,,other,linear,docs/archive/economy/economy.md:L205
- 0: $12–20.,12,usd,cost,linear,docs/archive/economy/economy.md:L205
- 0: $12–20.,20,usd,cost,linear,docs/archive/economy/economy.md:L205
- 1: $24–38 (4 research runs).,1,,other,linear,docs/archive/economy/economy.md:L206
- 1: $24–38 (4 research runs).,24,usd,cost,linear,docs/archive/economy/economy.md:L206
- 1: $24–38 (4 research runs).,38,usd,cost,linear,docs/archive/economy/economy.md:L206
- 1: $24–38 (4 research runs).,4,usd,cost,linear,docs/archive/economy/economy.md:L206
"- 2: $44–62 (11 research, 5 listings).",2,,requirement,linear,docs/archive/economy/economy.md:L207
"- 2: $44–62 (11 research, 5 listings).",44,usd,cost,linear,docs/archive/economy/economy.md:L207
"- 2: $44–62 (11 research, 5 listings).",62,usd,cost,linear,docs/archive/economy/economy.md:L207
"- 2: $44–62 (11 research, 5 listings).",11,usd,cost,linear,docs/archive/economy/economy.md:L207
"- 2: $44–62 (11 research, 5 listings).",5,count,requirement,linear,docs/archive/economy/economy.md:L207
"- 3: $68–92 (18 research, 8 listings, 7 ads).",3,,requirement,linear,docs/archive/economy/economy.md:L208
"- 3: $68–92 (18 research, 8 listings, 7 ads).",68,usd,cost,linear,docs/archive/economy/economy.md:L208
"- 3: $68–92 (18 research, 8 listings, 7 ads).",92,usd,cost,linear,docs/archive/economy/economy.md:L208
"- 3: $68–92 (18 research, 8 listings, 7 ads).",18,usd,cost,linear,docs/archive/economy/economy.md:L208
"- 3: $68–92 (18 research, 8 listings, 7 ads).",8,count,requirement,linear,docs/archive/economy/economy.md:L208
"- 3: $68–92 (18 research, 8 listings, 7 ads).",7,count,requirement,linear,docs/archive/economy/economy.md:L208
"- 4: $95–128 (26 research, 12 listings, 10 ads).",4,,requirement,linear,docs/archive/economy/economy.md:L209
"- 4: $95–128 (26 research, 12 listings, 10 ads).",95,usd,cost,linear,docs/archive/economy/economy.md:L209
"- 4: $95–128 (26 research, 12 listings, 10 ads).",128,usd,cost,linear,docs/archive/economy/economy.md:L209
"- 4: $95–128 (26 research, 12 listings, 10 ads).",26,usd,cost,linear,docs/archive/economy/economy.md:L209
"- 4: $95–128 (26 research, 12 listings, 10 ads).",12,count,requirement,linear,docs/archive/economy/economy.md:L209
"- 4: $95–128 (26 research, 12 listings, 10 ads).",10,count,requirement,linear,docs/archive/economy/economy.md:L209
"- 5: $130–176 (38 research, 18 listings, 16 ads).",5,,requirement,linear,docs/archive/economy/economy.md:L210
"- 5: $130–176 (38 research, 18 listings, 16 ads).",130,usd,cost,linear,docs/archive/economy/economy.md:L210
"- 5: $130–176 (38 research, 18 listings, 16 ads).",176,usd,cost,linear,docs/archive/economy/economy.md:L210
"- 5: $130–176 (38 research, 18 listings, 16 ads).",38,usd,cost,linear,docs/archive/economy/economy.md:L210
